Team,Total Points (2019),Total Points (2020),Wins (2019),Wins (2020)
Mercedes,739,573,15,13
Red Bull,504,319,3,2
McLaren,417,202,0,0
Racing Point,145,195,0,1
Renault,91,181,0,0
Ferrari,85,131,3,0
AlphaTauri(Toro Rosso),73,107,0,1
Alfa Romeo,57,8,0,0
Haas,28,3,0,0
Williams,1,0,0,0
